"Date","INDIACEM.NS.Open","INDIACEM.NS.High","INDIACEM.NS.Low","INDIACEM.NS.Close","INDIACEM.NS.Volume","INDIACEM.NS.Adjusted"
2015-04-13,216,220,214.1,216.6,2410100,107.44
2015-04-14,216.6,216.6,216.6,216.6,0,107.44
2015-04-15,216.6,222.3,208,209.6,2549500,103.97
2015-04-16,210.4,212,202.5,206.5,2101000,102.43
2015-04-17,206.8,208.2,198.5,200.2,2144000,99.3
2015-04-20,200.6,203.7,195.2,199.1,2299100,98.76
2015-04-21,201,204.3,198.4,201.1,2203700,99.75
2015-04-22,201.2,203.6,191.6,197.4,1631700,97.91
2015-04-23,198.7,202,196.2,197.6,1104200,98.01
2015-04-24,197.5,198.4,191.2,192.5,1552000,95.48
2015-04-27,194,194,174.4,176,2179800,87.3
2015-04-28,176.4,183.4,173,181.8,1826700,90.18
2015-04-29,182.6,186,177.6,179.7,1752200,89.14
2015-04-30,179.1,184,176.1,181.7,2481000,90.13
2015-05-01,181.7,181.7,181.7,181.7,0,90.13
2015-05-04,183.6,189.2,183.1,188.4,1611000,93.45
2015-05-05,188.6,190,183.3,185.1,1495100,91.81
2015-05-06,185.4,186,172.6,176.3,3203000,87.45
2015-05-07,174.2,177.5,170.4,175.2,2361700,86.9
2015-05-08,177.4,183.9,177.2,182.1,1291300,90.33
2015-05-11,183.9,187.6,181.6,185.4,1378900,91.96
2015-05-12,186.8,186.8,172.5,173.7,1568800,86.16
2015-05-13,174.6,180,172.5,178.7,2130000,88.64
2015-05-14,178.8,182.8,178,181.2,1132100,89.88
2015-05-15,181.9,183.6,180.1,181.7,1114400,90.13
2015-05-18,183.2,185.4,181.7,183.5,1016000,91.02
2015-05-19,183.2,189,181.1,184.1,1429200,91.32
2015-05-20,184.2,189,183.6,184.8,1284800,91.66
2015-05-21,184.8,185.5,178.4,179.9,2080700,89.23
2015-05-22,181,181.2,176.6,177.3,1288100,87.94
2015-05-25,176.5,182.4,176.5,179.8,1402900,89.18
2015-05-26,180.8,180.8,176.5,177.7,776900,88.14
2015-05-27,177.5,183.5,176.2,180.9,2456100,89.73
2015-05-28,181.8,186.8,180.5,184.8,3019200,91.66
2015-05-29,185.8,191.5,182.6,183.5,7802300,91.02
2015-06-01,186,187.3,181.6,182.1,1613100,90.33
2015-06-02,183.8,183.8,171.1,172.4,1815200,85.51
2015-06-03,173.4,173.6,161.1,166.3,2671100,82.49
2015-06-04,167,169.4,163.3,164.7,2584600,81.69
2015-06-05,164.2,167.3,162.6,164.4,1560700,81.55
2015-06-08,165.9,165.9,154.6,155.7,2351500,77.23
2015-06-09,153.8,159.1,152.9,158,1841700,78.37
